id,place_id,name,street_address,city,state,zip,latitude,longitude,phone,website,yelp_id,bean_cheese_likelihood_score
74616038-b2a9-4bf8-b75e-29997ea67526,ChIJTQbaXgD1XIYRoef7X5THUbc,Chela’s Tacos Mexican Restaurant,5231 Broadway suite 157,Alamo Heights,TX,78209,29.4758551,-98.4631993,(210) 753-1040,,,4
416a82e0-3e45-4d45-adbc-37f078bfa279,ChIJBUmoihf2XIYRLuoPUDQ993o,Taqueria Los Dos Laredos,1303 S Hackberry St,San Antonio,TX,78210,29.4045458,-98.47344869999999,(210) 534-2494,https://taquerialosdoslaredos.shop/,,3
61e4843a-925b-4cb6-a88c-a874eeb99752,ChIJNWSBql73XIYRjVFt6F2slV0,La Coronela Mexican Restaurant,201 N New Braunfels Ave,San Antonio,TX,78202,29.4212869,-98.46153919999999,(210) 598-0537,,,3
219c0259-221f-4f47-8eca-92b6b7f02d23,ChIJ-Q4IXm32XIYRkS5OzdwdBY0,Taqueria Los Dos Laredos #5,414 S New Braunfels Ave,San Antonio,TX,78203,29.4153236,-98.4609579,(210) 532-2283,,,3
c7e15025-1fa4-4736-914c-ca1bc5cdb9c3,ChIJyXzGQjJfXIYR3-WmPtulBbQ,Las Delicias Tacos #2,1901 W Commerce St,San Antonio,TX,78207,29.4273581,-98.5156841,(210) 223-1800,,,3
551b42de-54bf-40bb-a4cb-3e7b5dd099a5,ChIJT1hp3L1fXIYRl3yxmAkkaEE,La Sultana Del Norte Taqueria,4403 Blanco Rd,San Antonio,TX,78212,29.4873801,-98.50818,(210) 732-2244,http://lasultanadelnorte.com/,,3
02c91e1a-7ad4-4734-9508-45eb26c3c092,ChIJvWcFVBz1XIYRHuFYFAlqI7g,Taqueria Los Dos Laredos,1264 Austin Hwy,San Antonio,TX,78209,29.489102,-98.4428112,(210) 822-3110,https://taquerialosdoslaredostx.com/,,3
bcb2927d-e859-4f71-83af-a583ef1e40b5,ChIJLa8BpqNZXIYRwTe5BxvmoVI,Taqueria La Catrina Mexican Food,544 New Laredo Hwy,San Antonio,TX,78211,29.3673503,-98.54630060000001,(210) 921-1090,,,3
bfac7e86-5741-43aa-b612-bd88ceeb0dfb,ChIJi-b-t832XIYRdePFA4pffeU,Taqueria Los Dos Laredos,4703 Rigsby Ave,San Antonio,TX,78222,29.3987222,-98.40053739999999,(210) 333-8172,,,3
17f312c8-65c5-40b8-97c7-5b2fb48c1bf1,ChIJl4-xDK1fXIYRZeaQOIq5-xQ,Los Laureles,1918 West Ave,San Antonio,TX,78201,29.4791635,-98.525842,(210) 736-1255,,,3
a4a0e9d3-c17a-4f61-8f3e-1bb078eee5b6,ChIJ4Tb8IydcXIYRBZKiE_uEPp4,Isela's Tacos,3650 Culebra Rd,San Antonio,TX,78228,29.4494562,-98.57456359999999,(210) 468-2240,,,3
f8a6992d-ab5d-44d1-8f8d-e98cfc7f1d6e,ChIJIyuIWjJfXIYRPAno-4NA04U,Taqueria El Chilaquil,1821 W Commerce St,San Antonio,TX,78207,29.427382,-98.5150997,(210) 226-5410,,,3
16ba9daf-b404-4d87-b75b-071de065f8ae,ChIJe0oMwFVeXIYR-G_6wjhCTJU,Mi Celayence Mexican Restaurant,2907 Fredericksburg Rd,San Antonio,TX,78201,29.4702888,-98.5326743,(210) 732-1122,https://celayence.top/,,3
751654c3-aca4-4dfc-a8e7-092eb6b10dc4,ChIJXSlRSgdZXIYRcCY5YBM4syw,Angela's Mexican Café,4822 S Zarzamora St,San Antonio,TX,78211,29.3775062,-98.5338979,(210) 231-0083,https://www.facebook.com/Angelasmexicancafe210/,,3
dd1483f3-9ef9-4d5f-8061-1b023f2e144f,ChIJE98TgzNfXIYR5ksJOvBgsvY,Las Delicias Tacos #1,1603 W Commerce St #100,San Antonio,TX,78207,29.427098,-98.512389,(210) 226-4111,,,3
c911edeb-2242-49f5-91a0-62b0701f817a,ChIJQ_EEe0n1XIYREJ-REJpb9es,Taqueria Vallarta #3,8234 Broadway,San Antonio,TX,78209,29.5127291,-98.4658335,(210) 829-0180,,,2
1fbe5401-c92a-433b-8d55-e4efc30794ff,ChIJq9a61uD0XIYRr20pkDyVnYY,Taqueria El Trompos,7863 Callaghan Rd Suite 108,San Antonio,TX,78229,29.5096549,-98.5549435,(210) 626-8032,https://www.ordertaqueriaeltrompo.com/,,2
b814b2bf-30c7-49d2-9f3f-2e25498a57c3,ChIJmfvBY_P1XIYRCjrN5rhXplk,Los Weyes de la Asada,1009 Avenue B,San Antonio,TX,78215,29.435432,-98.481337,,https://losweyesdelaasada.com/,,2
ca9d1d71-61ff-4aa0-aba7-8b1b5b7d7c19,ChIJTZXmkF1fXIYROCUnT57g94o,Taqueria Chapala Jalisco,1902 McCullough Ave,San Antonio,TX,78212,29.4473178,-98.4916616,(210) 735-5352,https://taqueriachapala.top/,,2
84b7d76f-e366-4e7f-a49f-a89600cd362f,ChIJKyn2wORYXIYR_62QUVzAy7A,El Itacate Tacos,2501 Nogalitos St,San Antonio,TX,78225,29.3901017,-98.5209138,(210) 922-7191,,,2
5c7184b7-34e1-4fd7-ae6b-4bd19b7b614d,ChIJq-L-ARr2XIYRs1hYUk6SVhs,Taqueria Vallarta #2,1430 E César E. Chávez Blvd,San Antonio,TX,78210,29.4090309,-98.47351119999999,(210) 534-5285,https://kairospublicidadbilingue.com/taqueria-vallarta/,,2
bc7ef47f-b017-4f1a-8a51-58c2ba5b5f95,ChIJMeGJAXzzXIYRYHqNaoQV9bM,Taqueria Perla Tapatia,5102 Rittiman Rd,San Antonio,TX,78218,29.4835953,-98.3914077,(210) 662-2919,https://www.facebook.com/Taqueria-Perla-Tapatia-116703768353668/,,2
49b4aea3-5b7c-4be1-8e50-737092dff2e9,ChIJ8ZA76DP2XIYRbwm0VSw5wCo,Taqueria El Ranchero de Jalisco,505 Fair Ave,San Antonio,TX,78223,29.3856922,-98.4692332,(210) 957-0515,https://elrancherotaqueria.net/,,2
233ac81f-e374-4c7a-b3d3-15f2d11dffc9,ChIJw4ztpKhYXIYRuKpymLUwmyM,Cascabel Mexican Patio,1000 S St Mary's St,San Antonio,TX,78205,29.4145235,-98.4888305,(210) 212-6456,https://www.clover.com/online-ordering/cascabel-mexican-patio-san-antonio,,2
3e677fa0-1e78-4a08-a1a8-586569e1414a,ChIJ4wOwRFFZXIYRKEakVR1e4MU,Tacos El Rey,1821 Castroville Rd,San Antonio,TX,78237,29.4141369,-98.5656903,(210) 432-3663,https://www.facebook.com/TacosElReySA/,,2
5d9ba210-cc6d-4f1a-9554-fc12c4fc4d7a,ChIJ09TwH6pZXIYRQy_QPo0Le9I,Las Palomas Mexican Restaurant,3950 S Zarzamora St,San Antonio,TX,78225,29.3852702,-98.5328561,(210) 757-3426,,,2
9243085e-776b-41b3-ad23-707f29336f51,ChIJk7Z2SItZXIYRtgZGvjJXUMA,La Mexicana Mexican Restaurant,130 Main Plaza,San Antonio,TX,78205,29.4239975,-98.49311569999999,(210) 265-3422,http://lamexicanarestaurant.online/,,2
73470b5b-d30f-4ab4-b757-7cff76c25dff,ChIJvUGN4vdfXIYRpf7nV8k8wy0,TLAHCO MEXICAN KITCHEN,6702 San Pedro Ave,San Antonio,TX,78216,29.5005879,-98.49886769999999,(210) 239-9457,http://www.tlahcokitchen.com/,,2
26267784-7345-4c79-956f-496e542b6c26,ChIJ5THGqB73XIYR3jt7uVPM6dw,El Taco Huevon,2620 S Presa St Suite #2,San Antonio,TX,78210,29.3956097,-98.4812285,(210) 607-3002,,,2
