restaurant_place_id,author_name,author_url,rating,text,time,relative_time_description,language,review_date
ChIJTQbaXgD1XIYRoef7X5THUbc,S ND,https://www.google.com/maps/contrib/115534904656199424673/reviews,1,"I used to eat here most weekends. Today I ordered beef chalupas. It was piled high with lettuce and cheese…minimal to no picadillo. I told the waitress and showed her there was barely any meat. She did nothing to make it right.

It’s NOT what it used to be. I won’t be back.",1735411143,5 months ago,en,2024-12-28T12:39:03
ChIJTQbaXgD1XIYRoef7X5THUbc,clarinda c,https://www.google.com/maps/contrib/103895540911852874327/reviews,1,"I don't know if this place is under new management over the past few months. But the food is not the same the service not the same. Tacos taste less homemade, the cheese is cold vs last time they would usually melt the cheese. The decor is gone. Maybe it's been like 8 months? I tried 2 separate times to order food and it just isn't the same but it's also not good. Where are the other owners?",1744559872,a month ago,en,2025-04-13T10:57:52
ChIJTQbaXgD1XIYRoef7X5THUbc,Matthew Estrada,https://www.google.com/maps/contrib/102860883953062023288/reviews,2,"A hard and heart heavy review to write. It's not the same anymore. 💔

There's been an apparent change in ownership or management. If true, and without any sort of public signage to indicate this seems disingenuous as an effort to use the existing brand.

I support small and local businesses, and I write this with hope of some quick implementation of this and any other feedback the new staff receive. I understand times are hard, rent on the Broadway strip must be insane. I would be fine with the price increases if the quality and/or quantity of the food matched. Even if it meant waiting longer for food to be prepared and cooked. I believe this will allow for rebuilding clientele with the lower volume of patronage, then as it increases hopefully prices can be reduced to offset ticket times.

Everyone seems nice enough. No current complaint in service received. I hope everyone does their best so we can have delicious food for years to come.

The atmosphere was a bit dead, gone are the decorations that adorned and brought out the cultural charm. I hope this returns especially as it's dia de los muertos soon. The music videos that used the play also made everything more vibrant, made me feel like I was in Monterrey. Finally it was a bit dim which made things feel cold and unwelcoming, let's get some warm lighting back up.

The biggest things I noticed, the salsas are very different. I will miss the very spicy old salsa Verde and the very wine-ish salsa roja.

Huevos Rancheros and Huevos Divorciados do not come with bacon 🥓 anymore 😞

Menudo is gone, I hope for it's return now that is just starting to get cool out for autumn 🍂

The tortillas weren't as fluffy. Mine were actually a bit rough and chewy that took some effort pulling that resulted in a snap to break off a piece. Could've just been a bad batch 🤞 as this happens at other Mexican restaurants on occasion.

I'll make periodic updates here as I give this a few more visits with any noticeable changes 🙏",1729309228,7 months ago,en,2024-10-18T22:40:28
ChIJTQbaXgD1XIYRoef7X5THUbc,Sarah Craven,https://www.google.com/maps/contrib/102584840829659093844/reviews,5,"The breakfast tacos and chilaquiles (esp with salsa verde) are on point. Not sure what's up with the negative reviews - seems like some folks go to a Mexican establishment expecting a certain ""decor"" or vibe... just eat the food? We had a great experience and I thought the service was fantastic.",1748747910,in the last week,en,2025-05-31T22:18:30
ChIJTQbaXgD1XIYRoef7X5THUbc,Michelle Jacobson,https://www.google.com/maps/contrib/109951657002759056069/reviews,1,"We are here every Sunday and usually brought 2-4 people. It was a Sunday ritual. We bright tacos to friends. Staff knew our orders. First day of the new regime, former staff all gone. We loved them. Being vegetarian, it was a treat to have clean beans and all the omnivores lived the food as well. No longer. Why did you ruin it? Everyone we took lives the good and we saw other regulars. Bring back the old vibe, the recipes, the staff!",1740346000,3 months ago,en,2025-02-23T15:26:40
ChIJBUmoihf2XIYRLuoPUDQ993o,David gonzalez,https://www.google.com/maps/contrib/117520404468728928038/reviews,2,I got a carné asada parrillada from fajita and chicken fajita it comes it shrimp but I  switched to grilled sausage when the waitress brought me the food to my table it had more grilled sausage then fajita some food was cool some was very hot tortillas de harina not good they get hard and break when you are eating your tacos I ask the waitresses if she wanted a taco she told me that only when the food is fresh sometimes the food being there for a week I don't know that if that's a fact or not I just put what I see what I hear and what I taste but the waitress was very nice some homeless people do go but the people that work there just kick them out in total I pay was $23 for the parrillada and a mex cola I think that's a bit much for just that but everyone is different maybe I'll go back because of the good service and try something else and see what happens on my next but I don't think it's going to be soon and I live 5 blocks away,1748370696,a week ago,en,2025-05-27T13:31:36
ChIJBUmoihf2XIYRLuoPUDQ993o,Sarina Silva,https://www.google.com/maps/contrib/116611416304018761693/reviews,5,Generally order the same thing about once every week.  Twelve breakfast tacos specials with 3 bean on homemade corn and the others the way they come.  Love that they don't charge extra for this change.,1744375381,a month ago,en,2025-04-11T07:43:01
ChIJBUmoihf2XIYRLuoPUDQ993o,BRC Media,https://www.google.com/maps/contrib/117902669266627021213/reviews,4,Delicious...I was in and out in the drive thru in 7 minutes....ordered a few tacos and enchilada's... Came in for brunch so not too many cars in line. Friendly staff and good food at a reasonable price. We will definitely be back if in the area again. Thanks so much for the papita...,1651643730,3 years ago,en,2022-05-04T00:55:30
ChIJBUmoihf2XIYRLuoPUDQ993o,June Alonzo,https://www.google.com/maps/contrib/110105884256008396668/reviews,2,"I ordered the crispy beef tacos, while hubby had the enchiladas. I felt like the whole plate had no flavor even adding salt did not help. The rice texture was cooked perfectly. I just wish that it had tasted like something, it did not have any flavor. The beef in the taco was the same no flavor at all. Hubby said the enchiladas had on flavor either. He said the hot sauce was not hot, he even added salt to the hot sauce to help with the flavor but that did not help.",1564779158,5 years ago,en,2019-08-02T15:52:38
ChIJBUmoihf2XIYRLuoPUDQ993o,Monica Cantu,https://www.google.com/maps/contrib/118046851014173623655/reviews,1,"I would stop for tacos in the morning before work because it was on the way. Tacos were always mediocre, egg was always over cooked. The last time I went to pick up tacos there was a big piece of plastic in my taco. Even if this place was the only place that was open on my way to work, I will NEVER eat here again.",1724929773,9 months ago,en,2024-08-29T06:09:33
ChIJNWSBql73XIYRjVFt6F2slV0,Albert Mata,https://www.google.com/maps/contrib/115850593563942284041/reviews,5,"Today February 20, 2025 I ordered the Lunch Special The Spare Rib  Plate which included a Tea.  Been coming to this Restaurant, before and after Corona Virus. Very clean Restaurant. Extremely Good Food👍Very Reasonable Plate Prices. I will keep coming back to this Restaurant 👍",1743081863,2 months ago,en,2025-03-27T08:24:23
ChIJNWSBql73XIYRjVFt6F2slV0,Francisco,https://www.google.com/maps/contrib/115647393696685360580/reviews,5,"Delicious breakfast food. We come here every Sunday and it is always so good. Breakfast tacos are great with their homemade flour tortillas. The menudo está delicioso también!

Xo",1725687278,9 months ago,en,2024-09-07T00:34:38
ChIJNWSBql73XIYRjVFt6F2slV0,Google Uno,https://www.google.com/maps/contrib/107687601508667442790/reviews,3,"The food was decent, reasonably priced. The place inside has very beautiful art, decorating the inside.  Bathrooms have been remodeled.  The place was full of tables with plate cups from previous patrons, and none seemed to be addressing it. No biggie, just an observation. Once we got our food, we never got service again no one came to our table, and even the other waitresses that walked by total tunnel vision never glanced over our way.

We were going to place some orders to go for our children for when they got home from school plus some desserts etc but nobody ever came to the table to we finished our meal walked to the back to pay yet no one knew who had our ticket they kept asking around who had our table finally someone brought up our ticket we paid and left.

Maybe it was just a change of shift of something like that. I truly don't know, but I would rather just go to a drive-through place if I'm expected to tip but get partial service.",1692702693,a year ago,en,2023-08-22T06:11:33
